"frozenset({'<page title>', 'maximum video capture resolution', 'gps enabled', 'lens mount', 'wifi', 'depth', 'effective megapixels', 'memory card support', 'warranty information', 'width', 'image sensor', 'camera type', 'camera body only', 'height', 'environmental protection', 'weight', 'interface connection', 'image stabilization', 'total pixels', 'url', 'flash', 'lcd screen size'})",3
"frozenset({'<page title>', 'parent retsku', 'product model', 'camera modes', 'viewfinder type', 'number of batteries support', 'brand name', 'minimum diopter adjustment', 'maximum diopter adjustment', 'exposure control', 'pictbridge', 'builtin flash'})",1
"frozenset({'<page title>', 'maximum video capture resolution', 'depth', 'effective megapixels', 'memory card support', 'width', 'image sensor', 'camera type', 'height', 'optical zoom', 'weight', 'url', 'image stabilization', 'flash', 'lcd screen size', 'focal length 35mm equivalent', 'focal length', 'digital zoom'})",1
"frozenset({'<page title>', 'product model', 'gps', 'builtin flash', 'number of batteries support', 'iso sensitivity', 'longest shutter speed', 'hd movie mode', 'battery builtin', 'brand name', 'battery model supported', 'minimum diopter adjustment', 'parent product type', 'shortest shutter speed', 'language support', 'viewfinder type', 'battery rechargeable', 'product line', 'battery include', 'white balance modes', 'autofocus points', 'self timer', 'maximum diopter adjustment', 'exposure control', 'maximum frame rate', 'pictbridge', 'analog video out'})",1
"frozenset({'<page title>', 'maximum video capture resolution', 'lens mount', 'installed memory', 'depth', 'effective megapixels', 'memory card support', 'warranty information', 'width', 'image sensor', 'camera type', 'height', 'optical zoom', 'weight', 'interface connection', 'image stabilization', 'max aperture', 'total pixels', 'flash', 'url', 'lcd screen size', 'focal length', 'digital zoom'})",6
"frozenset({'<page title>', 'flash', 'url', 'lcd screen size', 'effective megapixels', 'focal length', 'warranty information', 'max aperture', 'camera type', 'optical zoom', 'digital zoom', 'weight', 'interface connection'})",1
"frozenset({'<page title>', 'maximum video capture resolution', 'depth', 'effective megapixels', 'memory card support', 'warranty information', 'width', 'image sensor', 'camera type', 'camera body only', 'height', 'environmental protection', 'weight', 'interface connection', 'max aperture', 'url', 'lcd screen size', 'digital zoom'})",2
"frozenset({'<page title>', 'normalizedweight', 'gps', 'normalizedheight', 'number of batteries support', 'normalizedoptical zoom', 'wide angle', 'longest shutter speed', 'memory card support', 'minimum diopter adjustment', 'battery model supported', 'image sensor', 'shortest shutter speed', 'height', 'viewfinder type', 'url', 'image stabilization', 'product line', 'product series', 'battery include', 'flash', 'camera modes', 'white balance modes', 'green compliance', 'focal length 35mm equivalent', 'focal length', 'exposure control', 'digital zoom', 'analog video out', 'maximum video capture resolution', 'product model', 'iso sensitivity', 'depth', 'effective megapixels', 'battery builtin', 'hd movie mode', 'warranty information', 'brand name', 'width', 'camera type', 'optical zoom', 'lens construction', 'battery rechargeable', 'normalizeddigital zoom', 'weight', 'lcd screen size', 'maximum diopter adjustment', 'maximum frame rate', 'pictbridge', 'builtin flash'})",1
"frozenset({'<page title>', 'maximum video capture resolution', 'depth', 'effective megapixels', 'memory card support', 'warranty information', 'width', 'image sensor', 'camera type', 'height', 'optical zoom', 'weight', 'url', 'image stabilization', 'total pixels', 'flash', 'lcd screen size', 'green compliance', 'focal length 35mm equivalent', 'focal length', 'digital zoom'})",27
"frozenset({'<page title>', 'maximum video capture resolution', 'normalizedweight', 'product model', 'normalizedheight', 'depth', 'memory card support', 'width', 'warranty information', 'brand name', 'image sensor', 'camera type', 'height', 'weight', 'battery rechargeable', 'normalizeddigital zoom', 'url', 'parent retsku', 'battery include', 'white balance modes', 'lcd screen size', 'focal length', 'maximum frame rate', 'digital zoom'})",1
"frozenset({'<page title>', 'maximum video capture resolution', 'product model', 'number of batteries support', 'normalizedoptical zoom', 'effective megapixels', 'hd movie mode', 'memory card support', 'warranty information', 'brand name', 'minimum diopter adjustment', 'camera type', 'optical zoom', 'viewfinder type', 'normalizeddigital zoom', 'product line', 'url', 'flash', 'lcd screen size', 'maximum diopter adjustment', 'digital zoom', 'pictbridge', 'builtin flash'})",1
"frozenset({'<page title>', 'maximum video capture resolution', 'flash', 'url', 'lcd screen size', 'installed memory', 'effective megapixels', 'memory card support', 'warranty information', 'max aperture', 'camera type', 'digital zoom', 'interface connection'})",1
"frozenset({'<page title>', 'product model', 'builtin flash', 'number of batteries support', 'iso sensitivity', 'longest shutter speed', 'hd movie mode', 'battery builtin', 'brand name', 'battery model supported', 'parent product type', 'shortest shutter speed', 'language support', 'viewfinder type', 'battery rechargeable', 'product line', 'battery include', 'white balance modes', 'camera modes', 'autofocus points', 'self timer', 'focal length 35mm equivalent', 'exposure control', 'maximum frame rate', 'pictbridge', 'analog video out'})",1
"frozenset({'<page title>', 'product model', 'gps', 'number of batteries support', 'wide angle', 'iso sensitivity', 'longest shutter speed', 'hd movie mode', 'battery builtin', 'brand name', 'battery model supported', 'shortest shutter speed', 'language support', 'lens construction', 'battery rechargeable', 'product line', 'parent retsku', 'battery include', 'white balance modes', 'camera modes', 'autofocus points', 'self timer', 'software included', 'green compliance', 'focal length 35mm equivalent', 'exposure control', 'maximum frame rate', 'pictbridge', 'builtin flash'})",1
"frozenset({'<page title>', 'maximum video capture resolution', 'installed memory', 'wifi', 'depth', 'effective megapixels', 'memory card support', 'warranty information', 'width', 'image sensor', 'camera type', 'height', 'optical zoom', 'weight', 'interface connection', 'image stabilization', 'max aperture', 'total pixels', 'flash', 'url', 'lcd screen size', 'focal length 35mm equivalent', 'focal length', 'digital zoom'})",4
"frozenset({'<page title>', 'maximum video capture resolution', 'normalizedweight', 'product model', 'normalizedheight', 'depth', 'longest shutter speed', 'width', 'brand name', 'shortest shutter speed', 'image sensor', 'parent product type', 'camera type', 'height', 'weight', 'normalizeddigital zoom', 'product line', 'url', 'white balance modes', 'focal length', 'maximum frame rate', 'digital zoom', 'analog video out'})",2
"frozenset({'<page title>', 'maximum video capture resolution', 'gps enabled', 'installed memory', 'wifi', 'depth', 'effective megapixels', 'memory card support', 'warranty information', 'width', 'image sensor', 'camera type', 'camera body only', 'height', 'optical zoom', 'weight', 'interface connection', 'image stabilization', 'max aperture', 'total pixels', 'flash', 'url', 'lcd screen size', 'focal length 35mm equivalent', 'focal length'})",1
